Timestamp,What is your age? ,What is your gender?,What is your current level of education?,Do you have access to a mobile device?,"Do you currently use any form of health tracking app (eg: Strava, Nike Run Club, Apple Fitness)?",What are some features offered by these health tracking apps that you enjoy?,How often do you use health tracking apps to track your physical activities/habits?,What difficulties do you face in staying motivated to use health tracking apps consistently and regularly?,What is the main reason for not using health tracking apps to track your physical activities/habits? ,How would you describe your attitude towards maintaining a healthy lifestyle?,Which health or fitness goal is most significant to you? ,"How often do you engage in physical exercise (eg: sports, running, walking)?","What is your favourite physical activity (eg: sports, exercises, hobbies)?",What are the top 3 motivations for your participation in physical activities?,What types of rewards or incentives would encourage you to use an app regularly?,What types of content in a health tracking app would be most appealing to you?,To what extent does the presence of a social community aspect influence your app usage?,Select the top three gamification features that would be most appealing to you in a health tracking app,How much would you prefer to have game-based features in your apps? ,How much would you prefer to have challenge-based features in your apps?,What features would make you more likely to participate in community events or challenges within the app?,How likely are you to participate in family-based challenges or activities within a health tracking app?,To what extent would you be more inclined to use a health tracking app if it was incorporated into school curriculum?,How do you think schools could help promote health tracking apps (eg: H365) among students?,"To what extent do you value personalised features in health tracking apps, such as tailored recommendations and content?",Which types of personalised health recommendations would you find most useful?,How important is it for you that a health tracking app adapts its recommendations and content to align with your specific health goals and activity data?,How likely are you to follow health recommendations if they are tailored to your specific goals and activity levels? ,Agreement
2024-08-23 11:31:51.787,16,Female,Secondary School,I have a personal mobile device,Yes,Goal setting and tracking,I have the app but I do not use it,Forgetting to log or update data,,Neutral,Lose weight,Daily,"badminton, volleyball ","Enjoyment and fun, Health benefits (eg: fitness, weight management), Social interaction with friends or family","Virtual collectibles (eg: in-app cards that can be traded with friends), Personalised progress reports and recommendations, Competitions/leaderboard rankings, Virtual badges/achievements",Adventure or exploration activities,3,"Points and scoring systems, Streaks and milestones, Challenges and quests",4,3,"Ease of joining events, Rewards or incentives, Friends participating, Interesting activities",4,4,"Integrate health tracking with physical education (PE) curriculum in schools, School-wide fitness and health challenges",4,Nutrition and diet plans,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-23 22:54:56.627,14,Female,Secondary School,I have a personal mobile device,No,,,,Do not feel the need to,Not very important,Maintain current health,Once a week,badminton,"Stress relief and mental well-being, Health benefits (eg: fitness, weight management), Social interaction with friends or family","Personalised progress reports and recommendations, Streaks or daily challenges",Personal development and self-improvement,2,"Points and scoring systems, Streaks and milestones, Badges and achievements",3,2,"Ease of joining events, Interesting activities",3,3,School-wide fitness and health challenges,3,Exercise routines,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-23 22:58:42.308,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Lose weight,Rarely (Once a month),sports,"Setting and reaching personal goals, Stress relief and mental well-being, Social interaction with friends or family",Virtual collectibles (eg: in-app cards that can be traded with friends),Social or collaborative features (eg: social community),2,"Social features, Levels and progression, Streaks and milestones",1,1,"Rewards or incentives, Interesting activities, Friends participating",2,1,School-wide fitness and health challenges,2,Stress management techniques,2,2,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 00:41:40.301,16,Female,Primary School,I have a personal mobile device,No,,,,Do not feel the need to,Not very important,Maintain current health,A few times a week,badminton,"Enjoyment and fun, Social interaction with friends or family, Improve skills or learn a new activity",Virtual collectibles (eg: in-app cards that can be traded with friends),Competitive challenges (eg: leaderboard),2,"Points and scoring systems, Rewards and unlockables, Leaderboards",4,3,"Friends participating, Interesting activities, Rewards or incentives",1,4,School-wide fitness and health challenges,4,Nutrition and diet plans,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 16:12:40.753,17,Female,Tertiary Education,I have a personal mobile device,Yes,"Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Rewards and incentives, Personalisation options (eg: customisable avatars, profiles or app interfaces, Goal setting and tracking",Once in a while,"Forgetting to log or update data, Complexity of the app",,Neutral,Lose weight,Daily,Walk,"Stress relief and mental well-being, Health benefits (eg: fitness, weight management), Achieving a sense of accomplishment","Social recognition or shout-outs, Streaks or daily challenges, Virtual collectibles (eg: in-app cards that can be traded with friends)",Personal development and self-improvement,3,"Points and scoring systems, Streaks and milestones, Levels and progression",3,3,"Interesting activities, Friends participating, Rewards or incentives, Ease of joining events",3,3,Integrate health tracking with physical education (PE) curriculum in schools,2,Stress management techniques,2,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 17:07:23.584,13,Female,Secondary School,I have a personal mobile device,Yes,"Progress visualisation, Gamification (eg: challenges and quests, achievement trophies, virtual currency), Community and social features (eg: chat with friends, view friends’ profiles, leaderboards)",Every time I engage in fitness activities,,,Neutral,Lose weight,A few times a week,PE,"Achieving a sense of accomplishment, Health benefits (eg: fitness, weight management), Stress relief and mental well-being","Virtual collectibles (eg: in-app cards that can be traded with friends), money",Social or collaborative features (eg: social community),3,"Social features, Challenges and quests, Rewards and unlockables",3,3,"Friends participating, Ease of joining events, Interesting activities, Rewards or incentives",3,4,"Integrate health tracking with physical education (PE) curriculum in schools, School-wide fitness and health challenges",3,Exercise routines,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 17:42:16.228,14,Male,Secondary School,I have a personal mobile device,Yes,"Goal setting and tracking, Detailed analytics",Once in a while,the apps i use only support running ,,Important,Improve endurance,A few times a week,gym,"Achieving a sense of accomplishment, Enjoyment and fun, Stress relief and mental well-being","Virtual badges/achievements, Social recognition or shout-outs",Social or collaborative features (eg: social community),1,"Challenges and quests, Badges and achievements, Levels and progression",1,1,"Ease of joining events, Interesting activities",2,2,Integrate health tracking with physical education (PE) curriculum in schools,2,Stress management techniques,2,2,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 18:24:33.221,14,Male,Secondary School,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Gain muscle,A few times a week,Football,"Achieving a sense of accomplishment, Stress relief and mental well-being, Setting and reaching personal goals","Virtual badges/achievements, Competitions/leaderboard rankings, Streaks or daily challenges, Virtual collectibles (eg: in-app cards that can be traded with friends)",Competitive challenges (eg: leaderboard),3,"Rewards and unlockables, Social features, Streaks and milestones",3,3,"Ease of joining events, Friends participating",2,2,"School-wide fitness and health challenges, Integrate health tracking with physical education (PE) curriculum in schools",3,Sleep improvement tips,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 18:30:27.476,17,Male,Tertiary Education,I have a personal mobile device,Yes,"Rewards and incentives, Goal setting and tracking",Every time I engage in fitness activities,,,Very important,mental strength ,Daily,cycling,"Achieving a sense of accomplishment, Health benefits (eg: fitness, weight management), Stress relief and mental well-being",cash voucher,Personal development and self-improvement,1,"Challenges and quests, Points and scoring systems, Streaks and milestones",4,4,"Rewards or incentives, Interesting activities",1,4,"Integrate health tracking with physical education (PE) curriculum in schools, School-wide fitness and health challenges",3,Stress management techniques,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 18:40:15.987,15,Female,Secondary School,I have a personal mobile device,No,,,,Do not feel the need to,Important,Maintain current health,A few times a week,Yoga and barre,"Achieving a sense of accomplishment, Improve skills or learn a new activity, Health benefits (eg: fitness, weight management)","Streaks or daily challenges, Virtual collectibles (eg: in-app cards that can be traded with friends)",Adventure or exploration activities,2,"Levels and progression, Rewards and unlockables, Points and scoring systems",2,2,"Rewards or incentives, Friends participating",2,3,"School-wide fitness and health challenges, Integrate health tracking with physical education (PE) curriculum in schools",2,Exercise routines,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 18:55:29.182,16,Male,Tertiary Education,I have a personal mobile device,Yes,"Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Progress visualisation, Rewards and incentives, Goal setting and tracking, Gamification (eg: challenges and quests, achievement trophies, virtual currency)",Every time I engage in fitness activities,,,Very important,Gain muscle,A few times a week,Sports: badminton and table tennis,"Health benefits (eg: fitness, weight management), Enjoyment and fun, Stress relief and mental well-being","Streaks or daily challenges, Personalised progress reports and recommendations, Competitions/leaderboard rankings",Personal development and self-improvement,3,"Levels and progression, Challenges and quests, Rewards and unlockables",4,4,Rewards or incentives,3,4,"School-wide fitness and health challenges, Integrate health tracking with physical education (PE) curriculum in schools",3,Daily health tips,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 19:55:36.355,16,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not have a compatible device,Not very important,Lose weight,Rarely (Once a month),Swimming,"Setting and reaching personal goals, Enjoyment and fun, Health benefits (eg: fitness, weight management)",Competitions/leaderboard rankings,Personal development and self-improvement,3,"Points and scoring systems, Streaks and milestones, Rewards and unlockables",4,4,Rewards or incentives,4,4,Integrate health tracking with physical education (PE) curriculum in schools,4,Stress management techniques,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 22:13:31.735,17,Male,Tertiary Education,I have a personal mobile device,Yes,"Detailed analytics, Goal setting and tracking, Progress visualisation",Not frequently,Forgetting to log or update data,,Important,Improve endurance,A few times a week,Sports football,"Stress relief and mental well-being, Enjoyment and fun, Improve skills or learn a new activity","Personalised progress reports and recommendations, Competitions/leaderboard rankings",Personal development and self-improvement,3,"Leaderboards, Streaks and milestones, Challenges and quests",2,3,"Friends participating, Ease of joining events",3,3,Integrate health tracking with physical education (PE) curriculum in schools,3,Exercise routines,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-24 23:39:06.285,16,Female,Secondary School,I have a personal mobile device,Yes,"Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Progress visualisation",I have the app but I do not use it,"Forgetting to log or update data, Internet connectivity required, Lack of personalisation",,Important,Improve endurance,Rarely (Once a month),Table tennis ,"Social interaction with friends or family, Enjoyment and fun, Health benefits (eg: fitness, weight management)","Social recognition or shout-outs, Streaks or daily challenges, Virtual collectibles (eg: in-app cards that can be traded with friends)",Social or collaborative features (eg: social community),4,"Streaks and milestones, Levels and progression, Social features",4,4,"Interesting activities, Ease of joining events, Friends participating",3,2,Integrate health tracking with physical education (PE) curriculum in schools,4,Exercise routines,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-25 13:31:28.863,17,Prefer not to say,Tertiary Education,I have a personal mobile device,Yes,"Gamification (eg: challenges and quests, achievement trophies, virtual currency), Progress visualisation, Goal setting and tracking, Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Rewards and incentives, Reminders and notifications, Detailed analytics, Personalisation options (eg: customisable avatars, profiles or app interfaces",Once in a while,"Privacy concerns, Forgetting to log or update data, Complexity of the app",,Very important,Gain muscle,A few times a week,basketball ,"Improve skills or learn a new activity, Social interaction with friends or family, Stress relief and mental well-being","Virtual badges/achievements, Social recognition or shout-outs, Virtual collectibles (eg: in-app cards that can be traded with friends), Streaks or daily challenges, Competitions/leaderboard rankings, Personalised progress reports and recommendations",Gamification elements (eg: badges),3,"Rewards and unlockables, Leaderboards, Badges and achievements",4,4,"Friends participating, Ease of joining events, Interesting activities, Rewards or incentives",4,3,School-wide fitness and health challenges,4,Exercise routines,3,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 00:37:54.427,17,Male,Tertiary Education,I have a personal mobile device,Yes,"Progress visualisation, Goal setting and tracking",Every time I engage in fitness activities,,,Important,Maintain current health,A few times a week,Playing sports ,"Stress relief and mental well-being, Enjoyment and fun, Improve skills or learn a new activity","Personalised progress reports and recommendations, Virtual collectibles (eg: in-app cards that can be traded with friends), Streaks or daily challenges",Personal development and self-improvement,2,"Points and scoring systems, Levels and progression, Leaderboards",2,3,"Interesting activities, Friends participating",2,2,Integrate health tracking with physical education (PE) curriculum in schools,3,Exercise routines,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 10:38:26.124,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Too complicated or difficult to use,Important,Lose weight,A few times a week,dance,"Health benefits (eg: fitness, weight management), Achieving a sense of accomplishment, Improve skills or learn a new activity","Competitions/leaderboard rankings, Streaks or daily challenges, Personalised progress reports and recommendations, Virtual badges/achievements",Competitive challenges (eg: leaderboard),3,"Rewards and unlockables, Points and scoring systems, Badges and achievements",3,3,"Friends participating, Rewards or incentives, Ease of joining events",3,3,School-wide fitness and health challenges,3,Stress management techniques,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 11:26:55.568,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Improve endurance,Once a week,Slow jog ,"Enjoyment and fun, Health benefits (eg: fitness, weight management), Achieving a sense of accomplishment",Personalised progress reports and recommendations,Personal development and self-improvement,3,"Social features, Badges and achievements, Challenges and quests",2,2,Interesting activities,3,3,"Integrate health tracking with physical education (PE) curriculum in schools, School-wide fitness and health challenges",2,Exercise routines,3,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 11:28:41.745,17,Male,Tertiary Education,I have a personal mobile device,Yes,"Progress visualisation, Rewards and incentives, Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Goal setting and tracking, Detailed analytics",Every time I engage in fitness activities,,,Very important,All of the above ,Daily,Cycling ,"Enjoyment and fun, Achieving a sense of accomplishment, Social interaction with friends or family","Virtual collectibles (eg: in-app cards that can be traded with friends), Virtual badges/achievements, Streaks or daily challenges, Competitions/leaderboard rankings",Competitive challenges (eg: leaderboard),4,"Rewards and unlockables, Badges and achievements, Leaderboards",4,4,Rewards or incentives,1,4,"School-wide fitness and health challenges, Integrate health tracking with physical education (PE) curriculum in schools",4,Nutrition and diet plans,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 11:29:16.029,16,Male,Tertiary Education,I have a personal mobile device,Yes,"Gamification (eg: challenges and quests, achievement trophies, virtual currency), Rewards and incentives, Progress visualisation, Detailed analytics, Reminders and notifications, Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Goal setting and tracking, Personalisation options (eg: customisable avatars, profiles or app interfaces",Every time I engage in fitness activities,,,Very important,Improve endurance,Daily,Boxing ,"Setting and reaching personal goals, Achieving a sense of accomplishment, Improve skills or learn a new activity","Streaks or daily challenges, Competitions/leaderboard rankings, Personalised progress reports and recommendations",Personal development and self-improvement,1,"Leaderboards, Challenges and quests, Levels and progression",3,4,"Rewards or incentives, Ease of joining events, Friends participating",2,4,"School-wide fitness and health challenges, Integrate health tracking with physical education (PE) curriculum in schools",3,Exercise routines,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 11:32:00.183,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Lose weight,A few times a week,Badminton,"Social interaction with friends or family, Enjoyment and fun, Stress relief and mental well-being",Virtual collectibles (eg: in-app cards that can be traded with friends),Competitive challenges (eg: leaderboard),3,"Leaderboards, Streaks and milestones, Badges and achievements",4,4,"Ease of joining events, Interesting activities, Friends participating, Rewards or incentives",2,4,Integrate health tracking with physical education (PE) curriculum in schools,4,Stress management techniques,3,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 11:32:32.244,17,Female,Tertiary Education,I have a personal mobile device,No,,,,I don’t exercise,Neutral,Maintain current health,Rarely (Once a month),Taekwondo,"Health benefits (eg: fitness, weight management), Social interaction with friends or family, Improve skills or learn a new activity","Competitions/leaderboard rankings, Virtual badges/achievements, Virtual collectibles (eg: in-app cards that can be traded with friends), Streaks or daily challenges, Personalised progress reports and recommendations",Gamification elements (eg: badges),2,"Leaderboards, Badges and achievements, Challenges and quests",4,3,"Rewards or incentives, Friends participating",1,2,Integrate health tracking with physical education (PE) curriculum in schools,2,Nutrition and diet plans,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 12:17:38.683,17,Male,Tertiary Education,I have a personal mobile device,Yes,"Personalisation options (eg: customisable avatars, profiles or app interfaces, Goal setting and tracking, Community and social features (eg: chat with friends, view friends’ profiles, leaderboards), Progress visualisation",Every time I engage in fitness activities,,,Important,Maintain current health,A few times a week,sprinting & bowling,"Health benefits (eg: fitness, weight management), Setting and reaching personal goals, Achieving a sense of accomplishment","Virtual collectibles (eg: in-app cards that can be traded with friends), Streaks or daily challenges, Competitions/leaderboard rankings",Competitive challenges (eg: leaderboard),4,"Challenges and quests, Streaks and milestones, Levels and progression",4,4,"Interesting activities, Friends participating",4,4,School-wide fitness and health challenges,4,Exercise routines,4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 12:33:32.150,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Maintain current health,A few times a week,um i dont have one,"Stress relief and mental well-being, Social interaction with friends or family, Enjoyment and fun","Streaks or daily challenges, Personalised progress reports and recommendations",Gamification elements (eg: badges),3,"Challenges and quests, Social features, Streaks and milestones",3,2,"Ease of joining events, Friends participating, Rewards or incentives, Interesting activities",2,3,Integrate health tracking with physical education (PE) curriculum in schools,4,Nutrition and diet plans,4,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 12:34:15.061,17,Female,Tertiary Education,I have a personal mobile device,Yes,"tracks the number of steps i take, health app tracks period cycle",Every time I engage in fitness activities,,,Neutral,Lose weight,A few times a week,"walking, tennis, badminton, ping pong, running on treadmill ","Improve skills or learn a new activity, Health benefits (eg: fitness, weight management), Enjoyment and fun","Personalised progress reports and recommendations, Virtual collectibles (eg: in-app cards that can be traded with friends), money/vouchers",do certain amt of exercise to exchange for free stuff like vouchers,1,"Rewards and unlockables, Points and scoring systems, exchange for money or vouchers",2,2,"Rewards or incentives, Friends participating",3,2,"School-wide fitness and health challenges, provide vouchers/prizes for those that achieve more fitness",4,"diet plans, daily health tips, customised exercise routines, sleep improvement tips ",4,4,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 12:36:57.309,16,Male,Tertiary Education,I have a personal mobile device,Yes,"Goal setting and tracking, Gamification (eg: challenges and quests, achievement trophies, virtual currency), Progress visualisation",I have the app but I do not use it,Lack of benefits or results,,Important,Gain muscle,A few times a week,basketball,"Stress relief and mental well-being, Improve skills or learn a new activity, Enjoyment and fun",Personalised progress reports and recommendations,Competitive challenges (eg: leaderboard),3,"Rewards and unlockables, Leaderboards, Points and scoring systems",4,3,"Interesting activities, Friends participating, Rewards or incentives",2,3,School-wide fitness and health challenges,3,Daily health tips,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 12:42:59.513,17,Male,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Important,Gain muscle,A few times a week,Badminton,"Achieving a sense of accomplishment, Stress relief and mental well-being, Health benefits (eg: fitness, weight management)","Competitions/leaderboard rankings, Personalised progress reports and recommendations",Gamification elements (eg: badges),3,"Social features, Challenges and quests, Leaderboards",3,2,"Friends participating, Ease of joining events",3,3,Integrate health tracking with physical education (PE) curriculum in schools,3,Exercise routines,3,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 14:40:16.428,17,Female,Tertiary Education,I have a personal mobile device,Yes,Goal setting and tracking,Every time I engage in fitness activities,,,Important,Lose weight,A few times a week,for now jogging,"Achieving a sense of accomplishment, Setting and reaching personal goals, Health benefits (eg: fitness, weight management)",Streaks or daily challenges,Adventure or exploration activities,1,"Challenges and quests, Badges and achievements, Leaderboards",1,1,Friends participating,2,2,School-wide fitness and health challenges,2,Daily health tips,2,2,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
2024-08-26 18:22:05.818,17,Female,Tertiary Education,I have a personal mobile device,No,,,,Do not feel the need to,Neutral,Maintain current health,Never,badminton,"Enjoyment and fun, Stress relief and mental well-being, Social interaction with friends or family","Virtual collectibles (eg: in-app cards that can be traded with friends), Virtual badges/achievements",Adventure or exploration activities,2,"Levels and progression, Leaderboards, Streaks and milestones",1,2,Ease of joining events,2,2,Integrate health tracking with physical education (PE) curriculum in schools,3,Nutrition and diet plans,2,3,I hereby consent to provide my information for SMU - IS483 Project Healthier Gen-Z.
